Date,Germany,Australia,US,UK,Canada,Japan
1/1/2000,98.71,102.11,95.28,100.23,92.80,99.87
2/1/2000,99.07,106.07,100.59,102.33,95.62,99.70
3/1/2000,101.07,108.00,103.66,103.86,96.91,100.86
4/1/2000,100.46,107.28,102.28,104.06,95.09,100.13
5/1/2000,100.53,109.13,101.53,104.33,96.27,100.59
6/1/2000,100.16,109.14,103.59,104.42,97.51,99.40
7/1/2000,100.24,108.58,103.30,103.89,97.14,100.22
8/1/2000,99.56,108.88,100.16,103.05,98.68,99.29
9/1/2000,100.09,108.89,99.81,103.97,98.25,100.04
10/1/2000,100.04,108.97,99.91,104.28,97.72,100.72
11/1/2000,101.93,111.99,102.02,106.33,99.98,101.16
12/1/2000,103.00,113.88,105.05,106.35,100.73,101.15
1/1/2001,103.45,103.46,104.97,106.53,100.80,99.83
2/1/2001,103.77,103.76,100.75,106.21,101.13,100.18
3/1/2001,104.18,103.74,100.88,106.32,100.75,97.94
4/1/2001,101.59,99.46,97.45,108.50,98.20,100.88
5/1/2001,98.78,98.36,97.11,107.67,97.82,100.27
6/1/2001,99.22,97.05,97.17,128.64,97.25,100.00
7/1/2001,100.91,98.01,99.58,131.12,102.51,100.30
8/1/2001,101.62,101.41,101.25,132.32,104.74,99.78
9/1/2001,101.48,101.40,103.88,131.82,104.90,99.91
10/1/2001,104.82,104.57,106.00,103.88,108.65,100.79
11/1/2001,103.34,101.32,101.89,102.83,105.72,100.52
12/1/2001,99.98,98.14,99.77,99.58,104.05,100.31
1/1/2002,100.77,97.94,99.66,100.96,104.00,100.26
2/1/2002,100.36,98.02,100.01,100.14,104.60,99.78
3/1/2002,98.19,96.19,95.97,97.77,101.53,100.96
4/1/2002,99.04,97.71,98.36,98.58,102.70,100.26
5/1/2002,98.69,97.19,98.93,98.05,103.50,100.13
6/1/2002,100.39,103.94,100.73,99.98,103.97,99.91
7/1/2002,101.92,104.73,103.20,101.12,105.43,99.91
8/1/2002,103.39,106.08,102.28,102.94,101.30,101.12
9/1/2002,105.69,109.69,106.39,104.86,102.62,100.22
10/1/2002,103.78,107.29,103.99,103.38,101.60,101.03
11/1/2002,103.89,106.51,98.48,102.46,100.85,100.05
12/1/2002,106.18,111.16,101.95,104.75,103.42,100.91
1/1/2003,103.55,110.57,100.27,105.43,101.70,100.92
2/1/2003,104.85,111.40,101.51,106.25,102.00,100.18
3/1/2003,103.69,109.54,100.59,105.26,101.21,100.93
4/1/2003,103.40,109.40,100.28,138.24,102.55,100.89
5/1/2003,106.55,113.32,102.70,133.63,106.20,100.65
6/1/2003,105.47,111.40,100.90,133.88,105.80,96.92
7/1/2003,96.44,107.91,93.82,134.78,102.96,99.68
8/1/2003,96.52,107.55,98.77,104.60,102.92,96.10
9/1/2003,97.97,108.24,102.52,105.51,105.38,101.88
10/1/2003,99.37,105.37,99.71,106.25,103.05,99.48
11/1/2003,98.36,103.86,100.09,105.60,103.30,101.52
12/1/2003,99.63,106.70,99.98,125.00,104.43,100.44
1/1/2004,100.02,105.10,100.98,100.92,104.87,100.66
2/1/2004,101.31,107.39,100.23,102.02,106.25,100.66
3/1/2004,102.45,107.20,101.30,102.13,106.75,98.78
4/1/2004,100.28,103.94,96.17,100.19,103.81,99.74
5/1/2004,99.43,104.58,101.25,98.86,103.52,99.83
6/1/2004,99.14,104.37,101.31,99.28,102.36,98.52
7/1/2004,99.84,104.40,102.17,99.33,103.10,99.58
8/1/2004,101.39,105.27,101.06,100.71,102.87,103.11
9/1/2004,102.24,105.77,101.02,101.36,103.22,101.62
10/1/2004,103.07,106.88,101.83,102.10,103.95,100.13
11/1/2004,99.43,107.58,99.17,103.21,104.07,100.43
12/1/2004,100.56,107.24,100.25,103.64,105.10,100.70
1/1/2005,101.71,106.91,100.94,103.09,106.17,100.70
2/1/2005,100.30,105.68,96.94,101.73,105.72,98.84
3/1/2005,100.64,104.04,96.16,100.54,104.50,101.16
4/1/2005,102.91,106.71,98.36,101.88,106.79,100.31
5/1/2005,99.29,108.18,101.13,103.69,107.74,100.48
6/1/2005,100.46,108.72,101.67,104.81,108.92,101.02
7/1/2005,100.25,108.03,98.73,103.62,108.50,99.04
8/1/2005,100.79,108.49,101.91,104.93,105.57,98.40
9/1/2005,100.78,106.80,99.34,103.76,104.18,99.22
10/1/2005,98.67,105.96,97.58,103.35,102.65,99.74
11/1/2005,100.40,106.21,100.08,131.12,103.58,100.26
12/1/2005,101.71,107.56,100.80,131.94,104.20,99.87
1/1/2006,100.35,106.39,99.83,104.77,102.51,98.59
2/1/2006,100.21,106.72,99.55,104.42,102.61,99.96
3/1/2006,97.64,106.12,97.25,128.45,101.68,98.39
4/1/2006,96.26,103.63,95.73,126.04,99.97,98.51
5/1/2006,100.54,101.85,100.03,95.84,101.07,101.29
6/1/2006,99.54,101.36,99.84,94.45,99.34,99.79
7/1/2006,100.60,101.01,101.05,95.27,101.12,100.54
8/1/2006,101.56,102.61,101.13,95.99,99.04,102.86
9/1/2006,102.55,103.78,101.89,95.92,100.04,100.38
10/1/2006,102.05,102.65,102.11,96.04,99.45,99.75
11/1/2006,100.47,103.46,101.30,96.09,100.49,100.92
12/1/2006,98.28,100.82,99.41,94.38,99.37,100.26
1/1/2007,97.21,100.73,98.53,92.70,98.23,99.87
2/1/2007,98.59,102.86,100.38,94.05,100.12,100.46
3/1/2007,97.51,100.62,99.81,130.80,99.11,100.43
4/1/2007,96.31,100.78,99.97,129.91,98.38,100.00
5/1/2007,98.88,99.88,96.94,127.76,96.48,99.62
6/1/2007,97.57,98.12,95.94,125.41,95.45,99.00
7/1/2007,99.36,99.87,98.19,127.46,96.10,100.75
8/1/2007,100.24,100.59,101.77,129.13,97.14,103.19
9/1/2007,99.11,98.73,101.22,128.97,96.90,99.83
10/1/2007,100.54,99.01,102.17,129.19,97.90,100.72
11/1/2007,98.70,100.62,102.45,131.79,100.22,101.79
12/1/2007,97.40,97.40,101.73,132.40,99.88,99.57
1/1/2008,100.52,99.00,105.34,132.79,100.92,100.52
2/1/2008,100.99,97.05,99.84,104.34,102.26,100.60
3/1/2008,100.76,98.99,100.45,105.25,104.45,101.11
4/1/2008,99.06,98.15,98.09,102.65,103.20,97.24
5/1/2008,98.36,90.14,98.44,100.29,102.20,99.50
6/1/2008,97.01,90.85,99.19,99.11,101.95,101.59
7/1/2008,99.17,92.45,99.33,101.55,104.45,101.37
8/1/2008,100.58,96.07,101.44,104.10,105.85,100.69
9/1/2008,101.89,98.73,101.45,104.24,104.00,100.17
10/1/2008,102.72,100.71,100.20,103.75,103.95,100.09
11/1/2008,104.10,105.44,107.11,109.57,107.50,100.86
12/1/2008,106.83,110.50,113.50,117.41,112.90,102.00
