Date,AUD,EURO,CAD,JPY,GBP
1/1/2004,1.37,0.92,1.39,120.2,0.68
2/1/2004,1.38,0.95,1.33,123.23,0.66
3/1/2004,1.4,0.91,1.31,120.76,0.65
4/1/2004,1.42,0.9,1.34,119.74,0.66
5/1/2004,1.41,0.89,1.33,121.3,0.65
6/1/2004,1.36,0.91,1.3,123.88,0.64
7/1/2004,1.3,0.9,1.25,122.3,0.64
8/1/2004,1.31,0.91,1.25,124.04,0.65
9/1/2004,1.27,0.89,1.21,119.73,0.65
10/1/2004,1.31,0.93,1.27,119.99,0.67
11/1/2004,1.28,0.89,1.25,119.66,0.65
12/1/2004,1.29,0.89,1.27,117.42,0.67
1/1/2005,1.22,0.83,1.16,119.81,0.64
2/1/2005,1.17,0.8,1.14,118.74,0.64
3/1/2005,1.14,0.8,1.13,112.09,0.63
4/1/2005,1.14,0.79,1.12,109.7,0.62
5/1/2005,1.07,0.76,1.09,103.94,0.6
6/1/2005,1.08,0.75,1.09,102.77,0.59
7/1/2005,1.06,0.73,1.07,101.29,0.58
8/1/2005,1.07,0.73,1.09,101.78,0.6
9/1/2005,1.08,0.72,1.1,102.11,0.59
10/1/2005,1.08,0.73,1.1,102.95,0.6
11/1/2005,1.12,0.72,1.11,102.09,0.6
12/1/2005,1.14,0.74,1.11,102.25,0.61
1/1/2006,1.12,0.73,1.06,105.15,0.6
2/1/2006,1.1,0.73,1.06,102.45,0.61
3/1/2006,1.06,0.74,1.04,98.27,0.62
4/1/2006,1.07,0.74,1.03,98.13,0.62
5/1/2006,1.12,0.76,1.05,98.16,0.65
6/1/2006,1.12,0.75,1.03,98.28,0.66
7/1/2006,1.09,0.77,1.05,99.25,0.66
8/1/2006,1.04,0.77,1.03,101,0.66
9/1/2006,0.96,0.76,1.01,97.5,0.64
10/1/2006,0.96,0.78,1.02,94.2,0.66
11/1/2006,0.98,0.76,1.03,92.37,0.66
12/1/2006,0.96,0.74,1,91.19,0.63
1/1/2007,0.96,0.76,1,86.5,0.62
2/1/2007,0.96,0.77,0.99,82.53,0.62
3/1/2007,0.96,0.77,1,79.86,0.62
4/1/2007,0.96,0.78,0.99,77.89,0.62
5/1/2007,0.97,0.79,0.99,78.31,0.63
6/1/2007,0.95,0.81,1,78.1,0.64
7/1/2007,0.98,0.79,1.02,79.93,0.64
8/1/2007,1.03,0.81,1.04,78.32,0.65
9/1/2007,0.96,0.76,0.99,79.8,0.62
10/1/2007,0.96,0.75,1,82.41,0.63
11/1/2007,0.93,0.75,0.99,81.06,0.63
12/1/2007,0.94,0.76,1,76.28,0.63
