Date,Thailand,Chile,Brazil,Argentina,Russia,Turkey,Portugal,Finland,South Africa,Indonesia,Venezuela
1/1/2004,698.9,1408.86,21851.44,1140.81,551.72,172.59,7011.72,1588.13,9953.72,752.93,14588.25
2/1/2004,716.3,1543.08,21755.02,1183.14,591.09,188.89,7630.46,1658.37,10005.41,761.08,12954.31
3/1/2004,647.3,1458.9,22142.26,1201.66,644.64,201.91,7540.45,1617.56,9773.27,735.68,11064.37
4/1/2004,648.15,1430.6,19607.23,1077.93,561.78,180.23,7500.35,1601.09,9455.17,783.41,11872.87
5/1/2004,641.05,1428.8,19544.67,952.62,535.4,170.81,7223.18,1551.55,9525.95,732.52,14819.87
6/1/2004,646.64,1482.98,21148.91,945.45,534.84,179.68,7387.3,1626.09,9200.62,732.4,15471.8
7/1/2004,636.7,1520.85,22336.87,966.1,502.81,193.81,7126.8,1607.08,9405.23,756.98,12857.25
8/1/2004,624.59,1631.41,22803.19,952.14,549.28,202.18,7113.67,1621.38,10242,754.7,11091.85
9/1/2004,644.67,1707.02,23245.24,1142.5,611.03,219.54,7359.15,1666.24,10780.46,820.13,5768.13
10/1/2004,628.16,1768.2,23052.18,1287.14,632.97,229,7460.94,1736.24,10556.09,860.49,5092.84
11/1/2004,656.73,1790.47,25128.33,1213.09,570.76,224.86,7523.1,1856.15,11283.33,977.77,3652.02
12/1/2004,668.1,1796.48,26196.25,1375.37,552.22,249.72,7600.16,1830.98,11405.72,1000.23,3824.64
1/1/2005,701.91,1809.88,24352.94,1373.79,575.74,273.3,8016.9,1828.62,11530.91,1045.43,3858.74
2/1/2005,741.55,1895.2,28139.13,1558.62,635.38,283.96,7896.74,1962.91,12188.73,1073.83,2991.17
3/1/2005,681.49,1961.69,26610.65,1400.42,598.04,255.58,7786.61,1952.95,12083.3,1080.16,2923.14
4/1/2005,658.88,1956.98,24843.7,1348.35,593.88,235.92,7607.81,1853,11324.02,1029.61,2908.99
5/1/2005,667.55,1968.78,25207.07,1485.55,603.89,252.36,7524.04,1988.45,12518.6,1088.17,2622.67
6/1/2005,675.5,2056.84,25051.21,1367.41,639.98,269.57,7510.58,2052.86,12859.2,1122.38,2163.87
7/1/2005,675.67,2175.06,26042.36,1507.59,700.65,296.15,7595.76,2121.45,13725.8,1182.3,2112.87
8/1/2005,697.85,2086.25,28044.83,1581.65,784.28,309.08,7817.99,2147.61,13949.5,1050.09,2156.98
