Date,Australia,Nethelands,Germany,Canada,Hong_Kong,France ,Belgium,US,Japan ,Spain,Sweden ,UK,Italy,Singapore
1/1/2000,3080.20,612.38,6835.60,8481.11,15532339844.00,5659810059.00,2806290039.00,1394459961.00,19539.70,10835.10,1220.23,6268.50,112.52,3958.79
2/1/2000,3124.60,664.28,7644.55,9128.99,17169439453.00,6190959961.00,2746080078.00,1366420044.00,19959.52,12585.80,1433.08,6232.56,109.75,3844.90
3/1/2000,3133.30,662.29,7599.39,9462.39,17406539063.00,6286049805.00,2777840088.00,1498579956.00,20337.32,11935.00,1383.66,6540.22,108.78,3907.83
4/1/2000,3115.80,661.38,7414.68,9347.61,15519299805.00,6419720215.00,2813280029.00,1452430054.00,17973.70,11467.90,1429.61,6327.43,103.99,3709.37
5/1/2000,3081.00,655.50,7109.67,9251.99,14713860352.00,6426259766.00,2849429932.00,1420599976.00,16332.45,10688.50,1377.15,6359.35,101.37,3666.83
6/1/2000,3311.20,672.14,6898.21,10195.45,16155780273.00,6446540039.00,2953280029.00,1454599976.00,17411.05,10581.30,1315.10,6312.71,102.74,3941.87
7/1/2000,3251.10,668.18,7190.37,10406.31,16840980469.00,6542490234.00,3068610107.00,1430829956.00,15727.49,10531.60,1320.12,6365.26,104.61,3999.34
8/1/2000,3297.80,689.52,7216.45,11247.91,17097509766.00,6625419922.00,3132520020.00,1517680054.00,16861.26,10884.70,1336.87,6672.66,95.61,3626.32
9/1/2000,3298.80,661.52,6798.12,10377.92,15648980469.00,6266629883.00,3056010010.00,1436510010.00,15747.26,10950.00,1218.17,6294.20,106.11,4046.91
10/1/2000,3254.60,680.56,7077.44,9639.57,14895339844.00,6397660156.00,3110110107.00,1429400024.00,14539.60,10363.10,1179.31,6438.40,104.19,3818.45
11/1/2000,3274.60,649.92,6372.33,8819.92,13984389648.00,5928080078.00,2988580078.00,1314949951.00,14648.51,9214.50,1095.43,6142.20,102.35,3794.06
12/1/2000,3206.20,637.60,6433.61,8933.68,15095530273.00,5926419922.00,3024489990.00,1320280029.00,13785.69,9109.80,1056.11,6222.50,98.47,3802.55
1/1/2001,3341.70,639.98,6795.14,9321.87,16102349609.00,5998490234.00,2968610107.00,1366010010.00,13843.55,10116.00,1112.58,6297.53,91.38,3598.65
2/1/2001,3326.50,597.33,6208.24,8078.72,14787870117.00,5367479980.00,2999600098.00,1239939941.00,12883.54,9551.40,975.65,5917.88,94.80,3641.25
3/1/2001,3147.20,558.36,5829.95,7608.00,12760639648.00,5180450195.00,2838409912.00,1160329956.00,12999.70,9308.30,831.77,5633.73,94.09,3539.11
