Date,Australia,Nethelands,Germany,Canada,Hong_Kong,France ,Belgium,US,Japan ,Spain,Sweden ,UK,Italy,Singapore,Thailand,Chile,Brazil,Argentina,Russia,Turkey,Portugal,Finland,South Africa,Indonesia,Venezuela
1/1/2004,3272.00,353.31,4058.60,8521.39,13289370117.00,3638439941.00,2383760010.00,1131130005.00,10783.61,7929.90,673.91,4390.68,103.48,3253.59,698.90,1408.86,21851.44,1140.81,551.72,172.59,7011.72,1588.13,9953.72,752.93,14588.25
2/1/2004,3360.60,356.59,4018.16,8788.49,13907030273.00,3725439941.00,2483159912.00,1144939941.00,11041.92,8249.40,698.18,4492.21,107.12,3244.15,716.30,1543.08,21755.02,1183.14,591.09,188.89,7630.46,1658.37,10005.41,761.08,12954.31
3/1/2004,3415.30,338.87,3856.70,8585.93,12681669922.00,3625229980.00,2380350098.00,1126209961.00,11715.39,8018.10,690.28,4385.67,110.94,3434.66,647.30,1458.90,22142.26,1201.66,644.64,201.91,7540.45,1617.56,9773.27,735.68,11064.37
4/1/2004,3400.80,341.41,3985.21,8243.97,11942959961.00,3674280029.00,2439610107.00,1107300049.00,11761.79,8109.50,685.59,4489.69,106.04,3141.85,648.15,1430.60,19607.23,1077.93,561.78,180.23,7500.35,1601.09,9455.17,783.41,11872.87
5/1/2004,3460.20,337.19,3921.41,8417.32,12198240234.00,3669629883.00,2415429932.00,1120680054.00,11236.37,7959.30,673.95,4430.69,109.46,3288.77,641.05,1428.80,19544.67,952.62,535.40,170.81,7223.18,1551.55,9525.95,732.52,14819.87
6/1/2004,3532.90,345.13,4052.73,8545.58,12285750000.00,3732989990.00,2470659912.00,1140839966.00,11858.87,8078.30,698.13,4464.07,115.71,3745.32,646.64,1482.98,21148.91,945.45,534.84,179.68,7387.30,1626.09,9200.62,732.40,15471.80
7/1/2004,3536.10,329.91,3895.61,8458.07,12238030273.00,3647100098.00,2465129883.00,1101719971.00,11325.78,7919.30,683.30,4413.08,111.12,3962.26,636.70,1520.85,22336.87,966.10,502.81,193.81,7126.80,1607.08,9405.23,756.98,12857.25
8/1/2004,3552.70,323.12,3785.21,8377.03,12850280273.00,3594280029.00,2558080078.00,1104239990.00,11081.79,7869.50,685.03,4459.32,114.52,4015.63,624.59,1631.41,22803.19,952.14,549.28,202.18,7113.67,1621.38,10242.00,754.70,11091.85
9/1/2004,3665.00,323.94,3892.90,8668.29,13120030273.00,3640610107.00,2693209961.00,1114579956.00,10823.57,8029.20,705.76,4570.77,114.99,4255.22,644.67,1707.02,23245.24,1142.50,611.03,219.54,7359.15,1666.24,10780.46,820.13,5768.13
10/1/2004,3778.60,330.48,3960.25,8870.97,13054660156.00,3706820068.00,2785449951.00,1130199951.00,10771.42,8418.30,702.55,4624.21,110.38,4023.31,628.16,1768.20,23052.18,1287.14,632.97,229.00,7460.94,1736.24,10556.09,860.49,5092.84
11/1/2004,3931.30,337.15,4126.00,9030.05,14060049805.00,3753750000.00,2850949951.00,1173819946.00,10899.25,8693.00,743.34,4703.18,111.88,4015.78,656.73,1790.47,25128.33,1213.09,570.76,224.86,7523.10,1856.15,11283.33,977.77,3652.02
12/1/2004,4050.60,348.08,4256.08,9246.65,14230139648.00,3821159912.00,2932620117.00,1211920044.00,11488.76,9080.80,741.88,4814.30,103.55,4019.56,668.10,1796.48,26196.25,1375.37,552.22,249.72,7600.16,1830.98,11405.72,1000.23,3824.64
1/1/2005,4107.30,360.42,4254.85,9204.05,13721690430.00,3913689941.00,2997600098.00,1181270020.00,11387.59,9223.90,741.50,4852.31,103.39,4109.69,701.91,1809.88,24352.94,1373.79,575.74,273.30,8016.90,1828.62,11530.91,1045.43,3858.74
2/1/2005,4172.80,374.37,4350.49,9668.32,14195349609.00,4027159912.00,3106540039.00,1203599976.00,11740.60,9391.00,769.97,4968.50,112.34,4145.44,741.55,1895.20,28139.13,1558.62,635.38,283.96,7896.74,1962.91,12188.73,1073.83,2991.17
3/1/2005,4109.80,369.56,4348.77,9612.38,13516879883.00,4067780029.00,3125669922.00,1180589966.00,11668.95,9258.80,770.39,4894.37,112.02,4098.14,681.49,1961.69,26610.65,1400.42,598.04,255.58,7786.61,1952.95,12083.30,1080.16,2923.14
4/1/2005,3983.20,348.20,4184.84,9369.30,13908969727.00,3911709961.00,3039709961.00,1156849976.00,11008.90,9001.60,749.54,4801.68,118.95,4151.65,658.88,1956.98,24843.70,1348.35,593.88,235.92,7607.81,1853.00,11324.02,1029.61,2908.99
5/1/2005,4106.40,364.68,4460.63,9607.30,13867070313.00,4120729980.00,3051669922.00,1191500000.00,11276.59,9427.10,792.39,4963.97,120.98,4328.37,667.55,1968.78,25207.07,1485.55,603.89,252.36,7524.04,1988.45,12518.60,1088.17,2622.67
6/1/2005,4277.50,383.83,4586.28,9902.77,14201059570.00,4229350098.00,3112830078.00,1191329956.00,11584.01,9783.20,822.49,5113.16,123.24,4425.44,675.50,2056.84,25051.21,1367.41,639.98,269.57,7510.58,2052.86,12859.20,1122.38,2163.87
