Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1/1/2009,-3.63,-12.48,-9.23,-3.11,-3.14,-10.36,-7.62,-2.20,-0.81,-18.34
2/1/2009,-7.59,-12.82,-13.50,-11.95,-4.97,-7.14,-3.11,-9.92,-12.65,-14.01
3/1/2009,6.38,12.83,7.58,3.76,11.32,7.64,9.94,7.05,2.79,12.90
4/1/2009,4.78,42.63,17.51,5.20,12.37,10.43,9.56,-0.95,2.13,16.37
5/1/2009,6.76,-2.82,5.39,10.77,3.16,1.52,-0.90,6.26,4.66,7.75
6/1/2009,0.34,3.71,-1.70,-4.84,4.36,1.63,-0.32,3.54,4.66,-1.92
7/1/2009,7.44,18.43,11.41,5.31,8.28,5.42,6.75,5.52,4.35,8.91
8/1/2009,0.83,2.65,2.94,0.73,2.38,1.03,3.69,2.19,0.21,8.06
9/1/2009,4.32,3.08,6.45,5.19,5.24,6.34,2.38,2.40,2.33,3.22
10/1/2009,-0.69,-0.25,-2.71,2.23,-1.38,-3.54,0.06,-3.67,-2.74,-5.23
11/1/2009,3.82,9.46,7.60,3.17,4.98,6.49,5.04,8.22,4.51,5.75
12/1/2009,2.67,5.07,2.80,-0.55,5.89,6.25,1.97,2.45,5.86,1.23
1/1/2010,-2.33,-0.87,-3.27,-4.73,-7.83,-6.84,-1.85,0.00,-4.50,-1.66
2/1/2010,2.72,7.30,5.18,2.41,4.76,2.92,4.29,0.38,-0.43,3.39
3/1/2010,5.98,9.28,6.52,3.17,6.67,7.88,6.24,3.61,3.10,8.42
4/1/2010,-0.93,7.20,3.24,3.60,2.17,3.82,2.56,-2.23,2.86,2.16
5/1/2010,-5.68,-8.70,-8.31,-10.70,-7.67,-5.91,-5.34,-8.01,-6.31,-8.83
6/1/2010,-1.94,-10.31,-5.75,-6.41,-6.16,-4.33,-9.02,-1.63,-0.72,-7.66
7/1/2010,7.37,15.02,9.58,7.74,7.50,9.74,4.62,2.14,6.79,7.49
8/1/2010,-1.25,-9.48,-5.51,-3.38,-6.46,-2.23,-3.93,-1.66,0.41,-7.55
9/1/2010,6.20,13.63,10.11,9.64,12.43,7.86,12.08,9.01,3.64,8.84
10/1/2010,4.35,8.40,5.13,4.38,6.36,4.81,2.43,2.00,1.86,2.60
11/1/2010,0.05,7.28,1.48,5.59,-0.81,-1.86,4.18,-3.34,-1.31,0.51
12/1/2010,4.37,8.54,7.01,9.37,6.05,6.71,3.26,5.41,3.22,9.73
1/1/2011,-2.35,0.48,2.83,6.93,3.92,0.05,-0.88,-0.71,2.23,1.98
2/1/2011,4.86,-1.40,3.43,7.65,2.31,7.59,2.27,3.33,2.43,2.67
3/1/2011,3.05,1.73,1.84,1.91,-1.59,1.77,1.10,2.30,0.91,-0.86
4/1/2011,4.59,2.22,2.99,1.30,3.11,3.41,4.53,6.38,3.99,1.11
5/1/2011,1.93,-3.54,-2.15,-4.56,-1.66,0.77,0.83,1.97,1.30,-2.39
6/1/2011,-1.01,-1.23,-0.59,-2.49,-2.33,-1.24,-0.89,-1.83,-0.34,-2.06
7/1/2011,-0.43,-8.91,-4.70,0.51,-0.37,-5.03,-0.67,-3.65,-0.35,-3.76
8/1/2011,-0.68,-12.00,-6.09,-10.11,-6.89,-5.45,-2.88,-3.10,0.14,-7.61
9/1/2011,-4.86,-14.11,-11.03,-12.47,-4.82,-5.94,-3.89,-3.96,-1.63,-10.31
10/1/2011,6.45,23.20,14.07,16.45,11.89,7.72,9.77,5.53,6.68,13.32
11/1/2011,1.40,-8.01,1.40,1.66,-1.99,0.05,1.10,1.27,0.99,-1.62
12/1/2011,1.88,-1.16,-0.80,-0.59,-1.46,3.20,0.87,3.53,2.95,1.07
1/1/2012,0.44,13.51,6.74,1.39,8.16,2.31,4.05,3.39,-2.71,6.77
2/1/2012,3.97,6.02,3.83,6.56,6.73,5.00,3.19,1.23,1.25,3.86
3/1/2012,3.91,0.92,0.70,-3.26,4.69,2.52,4.61,3.96,1.44,4.76
4/1/2012,0.82,-6.98,-0.68,-1.71,-2.09,1.62,1.00,0.62,1.74,-1.71
5/1/2012,-2.65,-8.15,-7.79,-10.73,-7.86,-1.05,-3.09,-3.29,-0.93,-7.20
6/1/2012,3.34,-5.51,1.22,5.85,2.85,7.04,2.11,6.80,3.40,4.76
7/1/2012,1.37,0.31,0.89,2.74,-0.52,4.07,1.26,1.65,3.73,-0.98
